work_id,slug
FAJARDO_BandosdeLucaYPisa(Transk-IMPR),los-bandos-de-luca-y-pisa
ENRIQUEZdudosa_BandosDeRavena,los-bandos-de-ravena-y-la-fundacion-de-la-camandula
LOPE_BandosDeSena,los-bandos-de-sena
ROJAS_BandosDeVerona,los-bandos-de-verona
ROSETE_BandosDeVizcaya(Transk-IMPR),los-bandos-de-vizcaya
DESCONOCIDO_BarbaABarbaHonraSeCata,barba-barba-honra-se-cata
LOPE_BarlaanYJosafat(Autografo),barlaan-y-josafat-autografo
LOPE_BarlaanYJosafat(ParteVeinticuatro),barlaan-y-josafat-parte-veinticuatro
DESCONOCIDO(3)_BarracasDelGraoDeValencia(Transk-IMPR),las-barracas-del-grao-de-valencia
QUINONES_BartolomeRomero(Jacara),bartolome-romero
QUINONES_BartolomeRomero(SegundaParte)(Jacara),bartolome-romero-segunda-parte
QUINONES_BartolomeRomeroFranciscaPaula(Jacara),bartolome-romero-francisca-paula
CALDERON_BastaCallar,basta-callar
GODINEZ_BastaIntentarlo,basta-intentarlo
GRAJALES_BastardoDeCeuta(Transk-IMPR),el-bastardo-de-ceuta
LOPE_BastardoMudarra,el-bastardo-mudarra
DESCONOCIDO_BatallaDeAlvis(Transk-MSS),la-batalla-de-alvis
LANINI_BatallaDeLasNavasReyDonAlfonsoElBueno(Transk-IMPR),la-batalla-de-las-navas-y-el-rey-don-alfonso-el-bueno
MONROY_BatallaDePavia,la-batalla-de-pavia
ROA_BatallaDelAmor(Auto)(Transk-MSS),la-batalla-del-amor
LOPE_BatallaDelHonor,la-batalla-del-honor
DESCONOCIDO_BatallaDelJordan(Transk-MSS),la-batalla-del-jordan
TORRE-SEVIL_BatallaDeLosDosSanLuisBeltran,la-batalla-de-los-dos-comedia-de-san-luis-beltran
LOPE_BatuecasDelDuqueDeAlba,las-batuecas-del-duque-de-alba
LOPE_BautismoDeCristo(Coloquio)(Transk-MSS),el-bautismo-de-cristo
LOPE_BautismoDelPrincipe,el-bautismo-del-principe-de-marruecos
CERVANTES_BanosDeArgel,los-banos-de-argel
LOPE_BelardoFurioso,belardo-el-furioso
CLAVIJO-CONDE_Belides(Zarzuela)(Transk-IMPR),las-belides
LOPE_BellaAurora,la-bella-aurora
LOPE_BellaMalmaridada,la-bella-malmaridada
TIRSO_BellacoSois,bellaco-sois-gomez
TURIA_BeligeraEspanola,la-beligera-espanola
LOPE_Benavides,los-benavides
DESCONOCIDO_BenjaminDeLaIglesia(Transk-MSS),el-benjamin-de-la-iglesia
LOPEdudosa_BernardoDelCarpio(SegundaParte),bernardo-del-carpio-segunda-parte
LIANO_BernardoDelCarpioEnFrancia(Transk-IMPR),bernardo-del-carpio-segunda-parte-0
DESCONOCIDO_BienNacidoEncubierto,el-bien-nacido-encubierto
CALDERON_BienVengasMal,bien-vengas-mal-si-vienes-solo
LOPE_BizarriasDeBelisa,las-bizarrias-de-belisa
DESCONOCIDO_BlancaNina(Auto)(Transk-MSS),la-blanca-nina
GUZMAN_BlasonDeDonRamiro(Transk-IMPR),el-blason-de-don-ramiro-y-libertad-del-fuero-de-las-cien-doncellas
LOPE_BlasonDeLosChaves,el-blason-de-los-chaves-de-villalba
LOPE_BobaParaOtros,la-boba-para-los-otros-y-discreta-para-si
LOPE_BoboDelColegio,el-bobo-del-colegio
CANCER_BodaDeJuanRana(Entremes),la-boda-de-juan-rana
LOPE_BodaEntreDosMaridos,la-boda-entre-dos-maridos
DESCONOCIDO_BodasDeBatoYMenga(Auto)(Transk-IMPR),las-bodas-de-bato-y-menga
BELMONTE_BodasDeFineo(Auto),las-bodas-de-fineo
DESCONOCIDO_BodasDeRugeroYBradamante(Transk-MSS),las-bodas-de-rugero-y-bradamante
LOPE_BodasEntreElAlma(Auto),bodas-entre-el-alma-y-el-amor-divino
QUINONES_Borracho(Entremes),el-borracho
FERNANDEZ-LUCAS_BrasGilBerenguella,bras-gil-y-berenguella
LOPE_BrasilRestituido,el-brasil-restituido
MESA-GASPAR_BrutoAteniense(Transk-MSS),el-bruto-ateniense
MORETO&CANCER&MATOS_BrutoDeBabilonia,el-bruto-de-babilonia-nabucodonosor
VILLEGAS-JUAN_BuenCaballeroMaestreDeCalatrava(Transk-IMPR),el-buen-caballero-maestre-de-calatrava
DESCONOCIDO_BuenLadronYMuerteDeCristo(Transk-MSS),el-buen-ladron-y-muerte-de-cristo
BELMONTE_BuenPagadorEsDios(Transk-IMPR),el-buen-pagador-es-dios
LOPEdudosa_BuenVecino(Transk-IMPR),el-buen-vecino
LOPE_BuenaGuarda,la-buena-guarda
MIRA_BuenoEsCallar,bueno-es-callar
LOPE_BurgalesaDeLerma,la-burgalesa-de-lerma
ROSETE_BurlaDelDoctorJuanRana(Entremes),la-burla-del-doctor-juan-rana
DESCONOCIDO_BurladoBurlador(Transk-MSS),el-burlado-burlador
TIRSOdudosa_BurladorDeSevilla,el-burlador-de-sevilla
TURIA_BurladoraBurlada,la-burladora-burlada
LOPE_BurlasDeAmor,las-burlas-de-amor
ARMENDARIZ_BurlasVeras,las-burlas-veras-0
LOPE_BurlasVeras,las-burlas-veras
LOPE_BurlasYEnredos,las-burlas-y-enredos-de-benito
PACHECO_CaballeroAsicio(Transk-MSS),el-caballero-asicio
CASTRO_CaballeroBobo(Transk-IMPR),el-caballero-bobo
MONROY_CaballeroDama,el-caballero-dama
TIRSO_CaballeroDeGracia,el-caballero-de-gracia
LOPE_CaballeroDeIllescas,el-caballero-de-illescas
DESCONOCIDO_CaballeroDeLaArdienteEspada(Auto),el-caballero-de-la-ardiente-espada
DESCONOCIDO_CaballeroDeLaCruzBermeja(Auto)(Transk-MSS),el-caballero-de-la-cruz-bermeja
DESCONOCIDO_CaballeroDeOlmedo,el-caballero-de-olmedo-la-viuda-por-casar
LOPE_CaballeroDeOlmedo,el-caballero-de-olmedo
MONTESER_CaballeroDeOlmedo,el-caballero-de-olmedo-burlesca
MONTALBAN_CaballeroDelFebo(Auto),el-caballero-del-febo
LOPE_CaballeroDelMilagro,el-caballero-del-milagro
LOPE_CaballeroDelSacramento,el-caballero-del-sacramento
VELEZ_CaballeroDelSol,el-caballero-del-sol
FLOR_CaballeroSastre(Transk-IMPR),el-caballero-sastre
MIRAdudosa_CaballeroSinNombre,el-caballero-sin-nombre
MORETO_Caballero,el-caballero
CALDERON_CabellosDeAbsalon,los-cabellos-de-absalon
