work_id,title,slug,slug_source,automatic_slug,override_slug,report_url,otrostitulos
CUEVA_SacoDeRoma(Transk-IMPR),"Saco de Roma, El",el-saco-de-roma,automatic,el-saco-de-roma,,https://etso.es/informes/analisis-estilometrico-el-saco-de-roma,
DESCONOCIDO_SacramentoDeLaEucaristia(Auto)(Transk-MSS),"Sacramento de la Eucaristía, El",el-sacramento-de-la-eucaristia,automatic,el-sacramento-de-la-eucaristia,,https://etso.es/informes/analisis-estilometrico-el-sacramento-de-la-eucaristia,
MORANANY_SacratisimoNacimientoDeCristo(Auto),Sacratísimo nacimiento de Cristo,sacratisimo-nacimiento-de-cristo,automatic,sacratisimo-nacimiento-de-cristo,,https://etso.es/informes/analisis-estilometrico-sacratisimo-nacimiento-de-cristo,
CANIZARES_SacrificioDeEfigenia(Transk-IMPR),"Sacrificio de Efigenia, El",el-sacrificio-de-efigenia,automatic,el-sacrificio-de-efigenia,,https://etso.es/informes/analisis-estilometrico-el-sacrificio-de-efigenia,
DESCONOCIDO_SacristanFariseo(Entremes),"Sacristán fariseo, El",el-sacristan-fariseo,automatic,el-sacristan-fariseo,,https://etso.es/informes/analisis-estilometrico-el-sacristan-fariseo,
CALDERON_SacristanMujer(Entremes),"Sacristán mujer, El",el-sacristan-mujer,automatic,el-sacristan-mujer,,https://etso.es/informes/analisis-estilometrico-el-sacristan-mujer,
GAMEZ_SacroIrisSetavino(Transk-MSS),"Sacro Iris Setavino, El",el-sacro-iris-setavino,automatic,el-sacro-iris-setavino,,https://etso.es/informes/analisis-estilometrico-el-sacro-iris-setavino,
CALDERON_SacroParnaso(Auto),"Sacro Parnaso, El",el-sacro-parnaso,automatic,el-sacro-parnaso,,https://etso.es/informes/analisis-estilometrico-el-sacro-parnaso,
CANIZARES_SalirElAmorDelMundo(Zarzuela)(Transk-MSS),Salir el amor del mundo,salir-el-amor-del-mundo,automatic,salir-el-amor-del-mundo,,https://etso.es/informes/analisis-estilometrico-salir-el-amor-del-mundo,
FAJARDO_SalomonDeMallorca(Transk-MSS),"Salomón de Mallorca, El",el-salomon-de-mallorca,automatic,el-salomon-de-mallorca,,https://etso.es/informes/analisis-estilometrico-el-salomon-de-mallorca,
DESCONOCIDO_SalteadorVenturoso(Auto),"Salteador venturoso, El",el-salteador-venturoso,automatic,el-salteador-venturoso,,https://etso.es/informes/analisis-estilometrico-el-salteador-venturoso,
VALDEARENAS_SalvadorDeEgipto(Transk-MSS),"Salvador de Egipto, El",el-salvador-de-egipto,automatic,el-salvador-de-egipto,,https://etso.es/informes/analisis-estilometrico-el-salvador-de-egipto,
ENRIQUEZ_SanAntonioAbad,San Antonio Abad,san-antonio-abad,automatic,san-antonio-abad,,https://etso.es/informes/analisis-estilometrico-san-antonio-abad,
VELASCO-DIEGO-PABLO_SanAtilano(Transk-MSS),San Atilano,san-atilano,automatic,san-atilano,,https://etso.es/informes/analisis-estilometrico-san-atilano,
MONROY_SanBartolomeEnArmenia(Transk-IMPR),San Bartolomé en Armenia,san-bartolome-en-armenia,automatic,san-bartolome-en-armenia,,https://etso.es/informes/analisis-estilometrico-san-bartolome-en-armenia,
DESCONOCIDO_SanBartolomePrincipeDeLaIndia(Transk-MSS),"San Bartolomé, príncipe de la India del Pigu y apóstol de Jesucristo (comedia segunda)",san-bartolome-principe-de-la-india-del-pigu-y-apostol-de-jesucristo,override,san-bartolome-principe-de-la-india-del-pigu-y-apostol-de,san-bartolome-principe-de-la-india-del-pigu-y-apostol-de-jesucristo,https://etso.es/informes/analisis-estilometrico-san-bartolome-principe-de-la-india-del-pigu-y-apostol-de-jesucristo,
BANCES_SanBernardoAbad(Transk-IMPR),San Bernardo Abad,san-bernardo-abad,automatic,san-bernardo-abad,,https://etso.es/informes/analisis-estilometrico-san-bernardo-abad,
CLARAMONTE_SanCarlos,San Carlos,san-carlos,automatic,san-carlos,,https://etso.es/informes/analisis-estilometrico-san-carlos,"Dos columnas de Carlos, Las"
LOPE_SanDiegoDeAlcala(Transk-IMPR),San Diego de Alcalá,san-diego-de-alcala,automatic,san-diego-de-alcala,,https://etso.es/informes/analisis-estilometrico-san-diego-de-alcala,
MARTINEZ_SanEstacio,San Estacio,san-estacio,automatic,san-estacio,,https://etso.es/informes/analisis-estilometrico-san-estacio,
DESCONOCIDO_SanEustacio,San Eustacio,san-eustacio,automatic,san-eustacio,,https://etso.es/informes/analisis-estilometrico-san-eustacio,"Vida y persecuciones de San Estacio, La"
DESCONOCIDO_SanFrancisco(Auto)(Transk-MSS),San Francisco,san-francisco,automatic,san-francisco,,https://etso.es/informes/analisis-estilometrico-san-francisco,
FERNANDEZ-LEON_SanFranciscoDeBorja(Transk-IMPR),"San Francisco de Borja, duque de Gandía",san-francisco-de-borja-duque-de-gandia,automatic,san-francisco-de-borja-duque-de-gandia,,https://etso.es/informes/analisis-estilometrico-san-francisco-de-borja-duque-de-gandia,
CALLEJA_SanFranciscoJavier,"San Francisco Javier, el sol en Oriente",san-francisco-javier-el-sol-en-oriente,automatic,san-francisco-javier-el-sol-en-oriente,,https://etso.es/informes/analisis-estilometrico-san-francisco-javier-el-sol-en-oriente,
MORETO_SanFrancoSenaLegoDelCarmen,San Franco de Sena,san-franco-de-sena,automatic,san-franco-de-sena,,https://etso.es/informes/analisis-estilometrico-san-franco-de-sena,"Lego del Carmen, El"
DESCONOCIDO_SanGines,San Ginés,san-gines,automatic,san-gines,,https://etso.es/informes/analisis-estilometrico-san-gines,
DESCONOCIDO_SanIsidro,San Isidro,san-isidro,automatic,san-isidro,,https://etso.es/informes/analisis-estilometrico-san-isidro,
LOPEdudosa_SanIsidroLabrador,San Isidro labrador de Madrid y victoria de las Navas de Tolosa por el rey don Alfonso,san-isidro-labrador-de-madrid-y-victoria-de-las-navas-de-tolosa-por,override,san-isidro-labrador-de-madrid-y-victoria-de-las-navas-de-tolosa,san-isidro-labrador-de-madrid-y-victoria-de-las-navas-de-tolosa-por,https://etso.es/informes/analisis-estilometrico-san-isidro-labrador-de-madrid-y-victoria-de-las-navas-de-tolosa-por,
REMON_SanJacinto,San Jacinto,san-jacinto,automatic,san-jacinto,,https://etso.es/informes/analisis-estilometrico-san-jacinto,
DESCONOCIDO_SanJavierGrandeEnElHito(Transk-IMPR),San Javier Grande en el Hito,san-javier-grande-en-el-hito,automatic,san-javier-grande-en-el-hito,,https://etso.es/informes/analisis-estilometrico-san-javier-grande-en-el-hito,
CALLEJA-OTRO_SanJuanCalibita(Transk-MSS),San Juan Calibita,san-juan-calibita,automatic,san-juan-calibita,,https://etso.es/informes/analisis-estilometrico-san-juan-calibita,
